Date: 2024-06-10 18:40:21, Score: 21
Date: 2024-06-10 18:50:34, Score: 11
Date: 2024-06-10 19:57:23, Score: 43
Date: 2024-06-10 20:44:40, Score: 35
Date: 2024-06-10 20:57:53, Score: 48
Date: 2024-06-11 12:13:44, Score: 35
Date: 2024-06-11 15:15:04, Score: 21
Date: 2024-06-11 15:51:35, Score: 0
Date: 2024-06-11 16:33:34, Score: 0
Date: 2024-06-13 10:57:32, Score: 20
Date: 2024-06-13 10:58:11, Score: 2
Date: 2024-06-13 12:14:17, Score: 19
Date: 2024-06-14 13:57:08, Score: 4
Date: 2024-06-14 14:00:24, Score: 20
Date: 2024-06-14 19:48:47, Score: 0
Date: 2024-06-15 13:39:29, Score: 20
Date: 2024-06-15 13:40:12, Score: 6
Date: 2024-06-15 13:42:30, Score: 13
Date: 2024-06-15 14:54:28, Score: 18
Date: 2024-06-15 15:44:52, Score: 14
Date: 2024-06-15 15:57:09, Score: 2
Date: 2024-06-15 15:58:21, Score: 8
Date: 2024-06-15 16:05:27, Score: 3
Date: 2024-06-15 16:06:38, Score: 2
Date: 2024-06-15 16:07:59, Score: 2
Date: 2024-06-15 16:14:40, Score: 6
Date: 2024-06-15 16:17:50, Score: 3
Date: 2024-06-15 16:20:40, Score: 3
Date: 2024-06-15 16:21:56, Score: 2
Date: 2024-06-15 16:26:07, Score: 4
Date: 2024-06-15 16:27:54, Score: 3
Date: 2024-06-15 16:33:07, Score: 3
Date: 2024-06-15 16:39:44, Score: 2
Date: 2024-06-15 16:40:56, Score: 10
Date: 2024-06-15 16:45:03, Score: 1
Date: 2024-06-15 16:46:13, Score: 9
Date: 2024-06-15 16:51:49, Score: 11
Date: 2024-06-15 16:52:58, Score: 17
Date: 2024-06-15 16:53:34, Score: 7
Date: 2024-06-15 16:55:44, Score: 0
Date: 2024-06-15 16:56:49, Score: 12
Date: 2024-06-15 17:49:10, Score: 22
Date: 2024-06-15 17:50:23, Score: 1
Date: 2024-06-15 17:51:18, Score: 7
Date: 2024-06-16 13:40:23, Score: 13
Date: 2024-06-16 13:41:48, Score: 20
Date: 2024-06-16 14:49:35, Score: 10
Date: 2024-06-16 14:52:29, Score: 18
Date: 2024-06-16 14:53:51, Score: 18
Date: 2024-06-16 14:59:00, Score: 6
Date: 2024-06-16 15:00:20, Score: 21
Date: 2024-06-16 15:10:19, Score: 10
Date: 2024-06-16 15:20:17, Score: 11
Date: 2024-06-16 15:27:57, Score: 10
Date: 2024-06-16 15:32:49, Score: 13
Date: 2024-06-16 15:33:34, Score: 6
Date: 2024-06-16 15:39:41, Score: 19
Date: 2024-06-16 15:40:51, Score: 13
Date: 2024-06-16 16:34:19, Score: 0
Date: 2024-06-16 16:37:31, Score: 1
Date: 2024-06-16 16:38:12, Score: 0
Date: 2024-06-16 16:43:50, Score: 6
Date: 2024-06-16 16:45:11, Score: 12
